carID,price
89856,10679.184877329619
106581,24054.968399533358
80886,14309.996897409608
100174,16891.633068945244
81376,24648.781041686987
85391,10536.553364008532
82175,14663.046133341928
95250,14845.24116370808
85071,5140.091325529569
96210,17333.520516271754
80317,27234.13274299379
92731,21485.508432507868
107704,9489.366013775092
98302,7382.679160240485
107055,22364.84649752497
94621,43122.98191890741
91709,19622.15886725028
98193,47380.43932516608
76189,17218.598024989285
86871,13611.865640877933
102917,6791.920274802156
90923,29195.073778795002
101603,11033.27783110337
94196,20817.88975993136
85174,16010.649992763814
103370,12753.498758170372
107877,16517.616560184382
79567,14079.30069982641
90091,9361.50197688077
76169,13528.38248164263
98708,11175.993676809945
107347,21325.557456220446
89583,9330.823245312928
101591,11371.090105689542
92160,15542.260053324766
99676,11532.31586411055
85354,17496.608998183736
81900,11760.916587786474
80345,22659.15071543427
78509,31801.589675730844
100872,9418.461455266179
95087,28347.34705937389
86027,16360.579549792472
89135,14111.70209774361
80557,26291.258640446693
108092,21668.511680694213
102672,16702.424983715944
83022,8389.456340163793
78398,20199.013751195915
95889,29523.236449011278
81117,46587.55636798165
93730,18684.787482097217
101380,9622.686494207692
81772,26829.81733537747
85304,10943.654207363476
86107,5769.633496652892
88696,16578.960569627616
104350,20443.120186616932
87331,12406.517277800243
85206,16317.370110594886
107445,25276.961045631328
106539,28502.360690023314
98712,25160.53219432714
96875,13664.058009035418
108464,22371.234721878882
99890,7791.727410050287
87771,17017.05722600238
79442,21265.048562710348
84170,10519.927010225167
103045,15014.10975998995
101544,3627.3598532464775
77350,10788.564520342385
89225,14815.847507977714
79565,57482.27370279969
82849,10224.304285643435
94360,19641.441750789996
103040,6730.529302144303
105101,47302.14014459444
97077,11735.879404355132
98674,13474.653079678066
93447,29034.77828331556
84951,18865.817605148604
91953,10556.57717324669
102101,8352.91969022065
92604,31202.80378742113
89010,9424.035772562904
102729,9655.292905412147
88024,10594.147821527547
104367,12151.60016749998
101230,11109.442665131235
82524,19444.26088152396
95279,48416.938301509355
106098,12234.313835966715
89749,8692.19648945177
101277,6454.7888969826445
108016,26722.157058131095
81259,25334.37696816718
97434,22075.220514396773
105289,27656.835794144234
103379,9912.836821086068
78317,31752.09169218055
104166,20171.808055076435
106660,33571.12214017609
107490,12490.851992901147
90684,14130.965579572097
90032,6464.025373893431
79481,18974.92280875869
102524,9295.46731865716
100778,17296.215796415883
77810,15066.236421492811
98979,12926.948043939936
76558,18879.963473772837
94550,21071.104799380955
107246,6033.179225543374
77429,26895.95688280795
106105,12402.260157791512
105213,9410.516594737517
102747,14890.88674730479
104958,16208.335999750365
96036,17426.89611456257
92310,22347.071408000407
100837,6437.5763483151395
82858,11397.69059059107
90119,10754.365856798824
77304,22450.877180156476
89011,11074.102063781645
84623,16890.621461003415
99665,22486.781473261617
100592,10036.504179721718
82623,10689.864818782231
92035,18509.442966509614
84305,10276.12976631409
92903,7407.563888783069
93398,19531.003399297453
108067,19178.325426609892
85062,7922.6851953227
81727,38724.00144064135
95637,10888.951074601098
89690,7957.76494145046
83240,17541.372520452976
89711,8340.552674702467
96945,10398.95595809134
104924,22992.412515138596
79633,20163.703179418495
89582,4599.461230269411
98080,7555.475476258244
85992,6623.0265109160155
86712,13129.423654542361
105767,13235.919366299624
100590,8779.754472334193
104574,16090.820052101133
97246,13276.793089020102
78141,19577.54807484656
91590,29405.57531647625
80767,14089.345818489757
100344,14538.564405791041
88987,20545.44101986058
96479,20744.675192193492
90598,8837.262908326682
83880,8277.951135149184
86802,14837.685435868434
103078,15083.916166499892
84736,9560.957012682611
84196,2550.9838461633517
102062,9928.052249879212
90110,6020.575239578568
102907,11361.489292123066
81776,24006.587695107915
102431,6614.119731175862
80442,14028.082069952434
78656,28182.99651605881
78537,35293.41441985763
102511,8028.4826046752505
93612,18888.61220243557
99284,7910.88516477214
96315,15970.583930273226
94305,34630.38754211591
100636,10829.386237697576
81816,15838.502319064597
100352,16044.261851651883
101476,10451.678080737694
93392,33278.853633013874
93995,22575.658056823107
94261,31404.060480439242
89117,15974.806276780593
86506,2451.9445109057133
88456,6826.625831357865
84134,10801.759875072725
81088,11446.229057320515
103960,11336.665757193412
84925,13493.507650925329
97306,10497.671983124734
83752,7701.179273018697
100696,3242.726358379219
76472,11291.768971478677
101128,12637.741143502468
105932,14020.105464989372
86416,7346.506076456602
79616,27396.92933981099
83395,14462.682060828796
88734,11175.784500492957
106676,17853.01806645445
102442,10300.508828103622
